system:index,albedo,date,.geo
69,23.21875,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,5.0703125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,85.78125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,227.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,360.25,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,566.75,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,742.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,821.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,834.75,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,754.5,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,606.5,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,384.375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,181.3125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,27.1484375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.0,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,3.197265625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,49.34375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,123.1875,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
