system:index,albedo,date,.geo
75,100252.5234375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,100203.6953125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,100148.09375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,100104.296875,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,100099.28125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,100123.140625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,100189.828125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,100314.1640625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,100422.9765625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,100467.9140625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,100481.9296875,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,100458.3046875,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,100417.578125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,100353.234375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,100279.71875,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,100215.703125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,100181.3515625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,100181.7109375,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,100221.75,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,100282.5390625,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,100357.8203125,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,100409.828125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,100440.375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,100439.5234375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,100392.7265625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,100297.359375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,100201.5859375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,100143.8203125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,100125.28125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,100176.4140625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,100295.9296875,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,100460.0234375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,100557.375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,100592.6015625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,100578.2109375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,100548.9140625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,100492.734375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,100411.828125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,100318.703125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,100249.796875,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,100210.5859375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,100215.9140625,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,100251.84375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,100308.4453125,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,100369.3984375,2009-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,100427.8125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,100442.2734375,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,100425.5234375,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,100364.6953125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,100286.4140625,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,100211.75,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,100175.515625,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,100163.7734375,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,100205.0546875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,100296.546875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,100400.2890625,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,100483.6171875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,100523.1484375,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,100523.3125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,100500.3203125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,100447.8671875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,100359.234375,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,100262.53125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,100181.75,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,100150.3046875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,100155.6640625,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,100197.8046875,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,100257.1015625,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,100320.328125,2009-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,100379.90625,2009-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,100397.390625,2009-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,100392.7578125,2009-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
