MOD15A2H.A2005113.h10v09.006.2020232035542.Fpar_500m,MOD15A2H,A2005113,Lat-3.834436Lon-73.31897Samp17Line17,2020232035542,F,0.68,F,0.75,F,F,F,F,F,F,F,F,0.52,F,F,F,0.87,F,0.68,F,F,F,F,0.74,F,F,F,0.54,F,F,0.89,F,F,F,0.86,0.78,F,0.79,0.89,0.9,0.9,0.9,F,F,F,F,F,F,F,F,0.88,0.86,0.84,0.86,F,F,F,F,0.79,0.79,F,F,F,F,0.89,0.89,F,F,F,0.89,0.89,0.77,0.7,F,F,0.72,0.72,F,F,F,F,0.89,0.89,F,F,0.88,0.88,0.89,0.9,0.81,F,F,F,F,F,F,0.9,0.88,0.89,F,F,0.89,0.75,0.89,0.89,0.89,F,0.7,F,F,F,0.57,0.88,F,0.88,0.89,0.89,F,0.88,F,F,0.66,0.66,F,F,F,F,F,F,0.89,F,0.88,0.89,0.89,F,0.89,F,F,F,F,F,F,F,F,F,0.89,0.89,F,0.88,0.89,0.89,0.89,0.9,F,F,0.58,0.51,0.51,F,F,F,F,F,0.89,0.9,0.88,0.86,0.89,F,F,0.9,0.9,0.58,F,F,0.53,0.31,F,0.89,0.89,F,0.88,0.88,0.89,F,0.89,0.89,F,F,F,F,F,F,F,F,F,0.89,F,0.88,F,F,F,0.89,F,0.65,F,F,0.57,F,F,F,F,F,F,0.89,0.88,F,F,0.9,0.89,F,0.4,F,F,F,F,F,F,F,F,F,0.88,0.89,F,F,0.89,0.89,0.87,0.55,0.29,F,F,F,F,F,F,F,F,0.89,F,F,0.9,0.89,0.88,0.89,F,0.89,0.66,F,F,0.9,F,F,F,F,0.89,0.9,0.89,0.88,0.89,0.88,F,F,0.9,F,F,F,F,F,F,F,0.88,F,F,0.89,F,0.89,F,F
MOD15A2H.A2005121.h10v09.006.2020232203627.Fpar_500m,MOD15A2H,A2005121,Lat-3.834436Lon-73.31897Samp17Line17,2020232203627,0.9,0.85,F,0.28,0.69,0.45,0.36,F,F,F,F,F,F,F,F,0.9,F,0.7,0.62,F,0.56,0.69,0.58,0.41,0.49,0.7,0.63,0.32,0.26,0.23,0.23,0.23,0.9,0.89,0.78,0.89,F,0.68,0.68,F,0.8,0.9,0.55,0.69,0.87,0.26,F,0.6,0.23,0.9,0.9,0.84,0.9,0.88,0.48,0.48,0.48,0.53,0.53,0.46,0.63,0.87,0.9,0.89,0.89,0.88,0.9,0.9,0.9,0.88,0.88,0.5,0.5,0.48,0.39,0.61,0.61,0.63,F,0.63,0.63,0.62,F,F,F,0.78,0.9,0.9,0.85,0.6,0.53,F,0.86,0.86,F,0.66,0.6,0.9,0.9,F,F,0.89,0.41,0.88,0.9,0.84,0.56,0.42,F,0.8,F,0.47,0.5,0.9,0.9,0.9,F,F,F,0.76,0.68,0.47,0.56,F,0.52,0.44,0.8,F,F,0.52,0.9,0.49,0.49,0.39,F,F,0.76,0.76,0.75,0.56,F,F,F,0.88,0.81,0.81,0.66,0.49,0.9,0.9,0.56,0.58,0.58,0.89,0.89,0.75,0.67,0.69,F,F,F,F,F,0.66,F,F,0.35,0.71,0.71,0.9,0.9,0.87,0.82,0.45,0.67,0.68,0.81,F,F,F,F,F,F,F,0.88,0.88,0.9,0.73,0.73,0.74,0.65,0.67,0.67,F,0.36,0.24,0.24,0.9,0.9,0.89,0.9,0.43,0.88,F,0.67,0.61,0.48,0.52,0.49,F,F,0.85,0.56,0.39,0.39,F,F,F,0.43,0.83,0.9,0.46,0.51,0.53,F,F,0.87,0.8,0.9,0.9,0.8,0.84,0.81,F,F,F,F,0.89,0.66,0.65,0.64,0.54,F,F,F,F,F,0.82,0.87,0.9,0.9,0.31,0.89,0.57,0.42,0.88,0.49,0.44,0.33,0.33,F,F,F,F,0.9,0.9,F,0.9,0.9,0.9,F,F,F,F,F,0.36,0.2,F,F,F,0.89,0.89,F,F,0.9,0.9,0.9,F,F
MOD15A2H.A2005129.h10v09.006.2020233121309.Fpar_500m,MOD15A2H,A2005129,Lat-3.834436Lon-73.31897Samp17Line17,2020233121309,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.09,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.07,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.09,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2005137.h10v09.006.2020234020302.Fpar_500m,MOD15A2H,A2005137,Lat-3.834436Lon-73.31897Samp17Line17,2020234020302,0.86,0.86,F,0.62,0.68,0.68,0.6,F,F,F,F,F,0.89,0.89,0.89,0.88,0.88,0.86,0.86,F,0.62,0.71,0.71,0.65,0.74,0.73,0.68,0.72,0.89,0.88,0.88,0.89,0.89,0.89,0.86,0.88,F,0.71,0.71,0.89,0.9,0.9,0.73,0.7,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.88,0.88,0.88,0.71,0.72,0.72,0.74,0.74,0.67,0.89,0.89,0.9,0.9,0.89,0.89,0.9,0.9,0.88,0.89,0.89,0.71,0.71,0.63,0.63,0.61,0.61,F,F,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.65,0.65,F,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.89,0.89,0.66,0.89,0.89,0.89,0.66,0.66,F,0.88,F,0.88,0.88,0.88,0.87,0.87,0.89,0.89,0.89,0.43,0.66,0.66,0.66,F,0.66,0.49,0.87,F,F,0.87,0.87,0.87,0.89,0.89,0.89,0.9,0.45,0.42,0.43,0.64,F,F,F,0.89,0.87,0.87,0.87,0.87,0.89,0.89,0.89,0.89,0.89,0.76,0.76,0.76,0.64,0.64,F,F,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.76,0.59,0.64,0.59,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.75,0.75,0.75,0.7,0.59,0.59,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.7,0.7,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.52,0.62,0.62,0.42,F,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.71,0.29,0.45,0.57,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.74,0.68,0.68,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.74,0.74,0.68,0.89,0.9,0.9,0.41,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2005145.h10v09.006.2020234145233.Fpar_500m,MOD15A2H,A2005145,Lat-3.834436Lon-73.31897Samp17Line17,2020234145233,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,F,F,F,F,F,F,0.19,F,F,F,F,F,F,F,F,F,0.25,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,0.25,0.11,0.11,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,0.25,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,F,F,F,F,F,F,F,F,F,F,F,0.45,F,F,F,0.25,0.25,F,F,F,0.9,0.9,F,F,F,F,F,F,F,0.05,0.05,0.05,F,0.21,0.22,F,F,F,F,F,F,F,F,F,F,F,F,0.09,0.09,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.09,0.09,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,0.06,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.05,0.05,F,0.45,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.13,F,F,F,F,F,F,F,F,F,F,F,F,0.76,F,F,0.11,0.11,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2005153.h10v09.006.2020235105811.Fpar_500m,MOD15A2H,A2005153,Lat-3.834436Lon-73.31897Samp17Line17,2020235105811,0.89,F,F,0.44,0.59,0.59,F,F,F,F,F,F,F,F,F,0.9,F,F,F,F,0.44,0.54,0.26,0.52,F,F,F,0.56,F,F,0.89,0.89,0.9,0.9,0.88,0.88,F,0.57,0.54,0.9,0.89,0.66,0.43,F,0.9,0.9,0.89,0.89,F,F,F,0.88,0.88,0.88,0.6,0.6,0.6,0.6,0.58,0.55,0.89,0.89,0.89,0.89,0.89,0.89,F,F,0.45,F,F,0.55,0.53,0.51,0.51,0.58,0.58,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,F,F,0.53,0.51,F,F,F,F,0.88,0.89,0.89,0.89,0.89,0.89,F,0.51,0.89,0.89,0.89,0.56,0.56,F,F,F,0.88,0.88,0.89,0.89,F,F,F,F,0.38,0.42,0.56,0.56,F,0.56,0.43,0.87,F,F,0.87,0.87,0.89,F,F,F,F,0.73,0.13,0.52,0.52,F,F,F,F,0.87,0.87,0.87,0.87,0.89,0.89,0.89,0.9,0.9,0.59,0.59,0.52,0.52,0.52,F,F,F,F,0.88,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.52,0.52,0.51,0.52,0.89,0.9,0.89,0.9,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.59,0.59,0.58,0.58,0.58,0.58,0.89,0.89,0.89,0.9,0.9,0.9,F,F,F,F,0.9,0.59,0.59,0.58,0.58,0.58,0.89,0.89,0.89,0.89,0.88,0.88,0.9,F,F,F,F,F,0.57,0.52,0.52,0.52,F,0.88,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.89,F,F,0.67,0.67,0.52,0.54,F,0.9,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,F,0.9,0.9,0.62,0.59,0.59,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.88,0.9,0.62,0.59,0.61,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2005161.h10v09.006.2020235210045.Fpar_500m,MOD15A2H,A2005161,Lat-3.834436Lon-73.31897Samp17Line17,2020235210045,0.9,0.21,F,0.42,0.34,0.42,0.51,F,F,F,F,F,0.89,F,F,F,F,F,F,F,0.38,0.42,0.43,0.43,0.52,0.59,0.59,0.56,0.89,0.89,0.87,0.87,F,F,F,0.72,F,0.44,0.44,0.81,0.85,0.87,0.57,0.57,0.86,0.84,0.84,0.87,0.87,F,F,F,0.83,0.83,0.51,0.47,0.51,0.51,0.55,0.57,F,0.86,0.84,0.84,0.84,0.87,F,F,F,F,F,0.48,0.48,0.5,0.54,0.54,0.57,0.88,0.85,0.86,0.85,0.86,0.86,F,F,0.43,F,F,F,0.5,0.51,F,F,0.81,0.85,0.84,0.85,0.85,0.87,0.87,0.89,0.89,0.42,F,F,F,0.53,0.5,F,F,F,0.6,0.84,0.87,0.87,0.88,0.88,F,0.9,0.52,0.47,0.46,0.53,F,0.52,0.48,F,F,F,0.85,0.05,0.87,0.88,0.88,0.89,0.9,0.52,0.47,0.47,0.47,F,F,F,F,F,F,0.85,F,F,F,F,0.88,0.88,0.55,0.54,0.54,0.47,0.47,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,F,0.55,0.49,0.53,0.52,F,F,F,F,F,F,F,F,F,F,F,0.75,0.62,0.55,0.49,0.56,0.56,0.9,0.9,0.9,0.86,0.86,0.86,F,F,0.88,0.88,0.89,0.75,0.62,0.62,0.67,0.6,F,0.9,0.9,0.9,F,0.86,0.86,0.86,0.89,0.89,0.89,0.89,0.57,0.57,0.57,0.67,F,F,0.87,0.87,0.86,F,F,0.87,0.87,0.89,0.88,0.88,0.89,0.69,0.63,0.63,0.59,F,F,0.9,0.87,0.86,F,0.88,0.87,0.87,0.88,0.89,0.89,0.88,0.88,0.87,0.72,0.61,0.64,0.9,0.9,0.89,0.85,0.85,0.85,0.87,0.87,0.86,0.87,0.87,0.88,0.88,0.87,0.74,0.74,0.74,0.9,0.9,0.89,0.89,0.89,0.86,0.85,0.85,0.88,0.87,0.88,0.87
MOD15A2H.A2005169.h10v09.006.2020236121439.Fpar_500m,MOD15A2H,A2005169,Lat-3.834436Lon-73.31897Samp17Line17,2020236121439,0.87,0.85,F,0.61,0.43,0.43,0.42,F,F,F,F,F,0.89,0.89,0.88,0.88,0.88,0.89,0.82,F,0.71,0.41,0.41,0.71,0.42,0.41,0.41,0.76,0.89,0.89,0.89,0.88,0.89,0.89,0.88,0.87,F,0.81,0.41,0.9,0.9,0.9,0.41,0.41,0.9,0.89,0.89,0.89,0.88,0.9,0.9,0.89,0.89,0.89,0.78,0.78,0.3,0.4,0.81,0.71,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.88,0.9,0.89,0.79,0.78,0.3,0.26,0.72,0.81,0.89,0.89,0.89,0.89,0.88,0.89,F,F,0.81,0.89,0.9,0.89,0.16,0.72,F,0.9,0.87,0.88,0.89,0.89,0.89,0.88,0.89,F,0.89,0.57,0.89,0.9,0.89,0.74,0.7,F,F,F,0.83,0.89,0.89,0.89,0.88,0.9,F,0.89,0.26,0.26,0.73,0.73,F,0.4,0.55,F,F,F,0.89,0.89,0.88,0.88,0.89,F,0.89,0.34,0.32,0.32,0.38,F,F,F,0.9,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.9,0.89,0.34,0.26,0.34,0.34,0.36,F,F,F,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,0.26,0.26,0.66,0.26,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.82,0.3,0.34,0.3,0.3,0.21,0.89,0.9,0.9,0.9,0.89,0.88,0.89,F,F,0.9,0.9,0.78,0.3,0.34,0.34,0.3,0.9,F,F,F,F,0.89,0.88,0.9,F,0.89,0.89,0.88,0.67,F,F,0.75,F,0.9,0.9,F,F,F,0.88,0.88,0.89,F,0.89,0.89,0.88,0.81,0.71,0.21,0.25,F,0.9,0.9,F,F,F,0.88,0.89,0.9,F,0.89,0.89,F,0.89,0.9,0.32,0.32,0.32,0.9,0.9,F,0.89,0.89,0.88,0.89,0.89,F,F,F,F,0.9,0.89,0.32,0.32,0.29,0.9,0.9,F,0.88,0.88,0.88,0.89,0.89,F,F,F,F
MOD15A2H.A2005177.h10v09.006.2020237014525.Fpar_500m,MOD15A2H,A2005177,Lat-3.834436Lon-73.31897Samp17Line17,2020237014525,0.89,0.89,F,0.7,0.51,0.61,0.69,F,F,F,F,F,0.89,F,0.9,0.89,0.89,0.89,0.89,F,0.69,0.58,0.65,0.72,0.73,0.69,0.54,0.67,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,F,0.78,0.57,0.9,0.9,0.9,0.5,0.5,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.78,0.56,0.53,0.73,0.73,0.73,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.77,0.58,0.63,0.73,0.73,0.73,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.88,0.9,0.9,0.9,0.61,0.6,F,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.89,0.89,0.55,0.9,0.9,0.9,0.67,0.61,F,0.88,F,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.51,0.51,0.51,0.48,F,0.59,0.66,0.89,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.63,0.6,0.6,0.57,F,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.68,0.7,0.7,0.57,0.57,F,F,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.74,0.56,0.67,0.64,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.89,0.89,0.9,0.68,0.65,0.74,0.63,0.68,0.68,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.78,0.6,0.81,0.55,0.67,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.66,0.59,0.59,0.68,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.81,0.59,0.59,0.53,F,0.89,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.91,0.73,0.56,0.48,0.91,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.81,0.65,0.58,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2005185.h10v09.006.2020237112458.Fpar_500m,MOD15A2H,A2005185,Lat-3.834436Lon-73.31897Samp17Line17,2020237112458,0.81,0.76,F,0.74,0.88,0.88,0.82,F,F,F,F,F,0.87,0.85,0.84,0.86,0.85,0.11,0.7,F,0.8,0.88,0.88,0.68,0.83,0.88,0.8,0.74,0.88,F,0.86,0.9,0.89,0.91,F,F,F,0.8,0.83,0.89,0.89,0.88,0.76,0.75,0.89,0.79,F,0.84,0.85,0.9,0.9,F,F,0.86,0.77,0.77,0.78,0.78,0.71,0.71,0.89,0.89,0.85,0.69,0.85,0.85,0.9,0.9,0.82,0.88,0.88,0.8,0.72,0.7,0.68,0.79,0.69,0.88,0.88,0.84,0.86,0.85,0.83,0.9,0.9,0.82,0.86,0.2,0.88,0.78,0.67,F,0.88,F,0.87,0.88,0.84,0.86,0.86,0.85,0.85,0.86,0.74,0.88,0.23,0.89,0.74,0.7,F,0.85,F,0.76,0.84,0.84,0.86,0.86,0.85,0.85,0.85,0.73,0.68,0.68,0.67,F,0.72,0.53,0.85,F,F,0.87,0.88,0.88,0.88,0.86,0.86,0.85,0.73,0.73,0.73,0.78,F,F,F,0.85,0.85,0.83,0.87,0.89,0.89,0.88,0.86,0.85,0.85,0.83,0.79,0.79,0.76,0.73,F,F,0.88,0.88,0.87,0.89,0.88,0.88,F,0.86,0.85,0.85,0.85,0.89,0.75,0.75,0.58,0.73,0.88,0.89,0.89,0.88,0.89,F,0.84,0.9,0.9,0.88,0.88,0.79,0.76,0.79,0.75,0.65,0.73,0.88,0.87,0.87,0.88,0.88,0.88,0.88,0.83,0.83,0.9,0.89,0.76,0.64,0.79,0.84,0.84,0.89,0.89,F,0.87,0.87,0.85,0.88,0.88,0.83,0.83,F,F,0.56,0.65,0.72,0.67,F,0.89,0.88,0.88,F,F,0.85,F,0.85,0.85,0.85,F,F,0.74,0.68,0.64,0.54,F,F,0.89,0.88,F,F,F,0.91,0.91,F,F,F,F,F,0.88,0.8,0.77,0.76,0.89,0.89,0.89,F,0.85,0.88,0.87,F,F,F,F,F,0.88,F,0.8,0.57,0.81,0.88,F,F,F,F,F,F,F,F,F,0.87,0.87
MOD15A2H.A2005193.h10v09.006.2020238201702.Fpar_500m,MOD15A2H,A2005193,Lat-3.834436Lon-73.31897Samp17Line17,2020238201702,0.88,0.85,F,0.62,0.53,0.53,0.57,F,F,F,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.87,F,0.53,0.53,0.54,0.69,0.57,0.57,0.54,0.48,0.89,0.9,0.9,0.89,0.89,0.89,0.88,0.88,F,0.6,0.63,0.9,0.9,0.9,0.54,0.51,0.84,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.9,0.54,0.65,0.48,0.54,0.54,0.54,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.88,0.89,0.9,0.51,0.69,0.63,0.48,0.47,0.47,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.87,0.9,0.9,0.9,0.6,0.63,F,0.87,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.64,0.9,0.9,0.9,0.63,0.63,F,0.73,F,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.89,0.61,0.59,0.56,0.63,F,0.5,0.63,0.89,F,F,0.87,0.89,0.89,0.89,0.9,0.9,0.89,0.74,0.67,0.56,0.68,F,F,F,0.85,0.89,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.76,0.67,0.51,0.64,0.65,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.51,0.6,0.58,0.7,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.79,0.73,0.51,0.52,0.52,0.79,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.74,0.51,0.83,0.5,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.65,0.68,0.66,0.5,F,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.74,0.74,0.51,0.62,F,0.86,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.9,0.51,0.5,0.5,0.9,0.89,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.49,0.49,0.5,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.89,0.89
MOD15A2H.A2005201.h10v09.006.2020241082353.Fpar_500m,MOD15A2H,A2005201,Lat-3.834436Lon-73.31897Samp17Line17,2020241082353,0.87,0.87,F,0.67,0.67,0.16,0.64,F,F,F,F,F,F,0.89,0.89,0.9,0.89,0.89,0.89,F,0.66,0.66,0.64,0.68,0.62,0.62,0.6,0.47,0.9,0.9,0.89,0.9,0.89,0.89,0.89,0.89,F,0.68,0.68,0.9,0.89,0.84,0.59,0.61,0.88,0.89,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.72,0.68,0.73,0.74,0.68,0.6,0.9,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.66,0.69,0.71,0.65,0.68,0.68,0.9,0.9,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.67,0.64,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.5,F,0.9,0.9,0.71,0.69,F,F,F,0.84,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.53,0.57,0.57,0.61,F,0.62,0.64,0.89,F,F,0.84,0.89,0.89,0.89,0.89,0.89,0.9,0.6,0.6,0.59,0.71,F,F,F,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,0.16,0.16,0.65,0.43,0.71,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,F,0.65,0.43,0.3,0.26,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.52,0.63,0.71,0.4,0.11,0.11,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.52,0.45,0.45,0.59,0.34,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.65,0.6,0.38,0.39,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.75,0.42,0.42,0.45,F,0.91,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.9,0.9,0.52,0.61,0.46,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.9,F,0.42,0.57,0.57,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.9,0.89
MOD15A2H.A2005209.h10v09.006.2020241193620.Fpar_500m,MOD15A2H,A2005209,Lat-3.834436Lon-73.31897Samp17Line17,2020241193620,0.89,0.87,F,0.59,0.33,0.33,0.58,F,F,F,F,F,0.89,0.9,0.89,0.89,0.89,0.9,0.9,F,0.45,0.39,0.33,0.69,0.58,0.58,0.37,0.36,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,F,0.5,0.43,0.9,0.9,0.9,0.37,0.37,F,0.9,0.89,0.89,0.89,0.89,0.9,0.88,0.9,0.9,0.74,0.44,0.52,0.52,0.41,0.36,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.69,0.69,0.48,0.47,0.36,0.36,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.59,0.58,F,0.48,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.66,0.9,0.9,0.87,0.68,0.59,F,0.41,F,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.48,0.48,0.71,0.73,F,0.74,0.61,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.7,0.78,0.37,F,F,F,F,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.9,0.9,0.54,0.54,0.37,0.37,0.74,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.39,0.37,0.59,0.62,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.89,0.89,0.9,0.56,0.56,0.39,0.63,0.62,0.53,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.53,0.53,0.48,0.83,0.69,0.85,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.68,0.37,0.37,0.37,F,0.88,0.9,0.9,0.9,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.83,0.37,0.37,0.34,F,0.89,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.53,0.53,0.49,0.84,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,F,0.9,0.9,0.9,0.9,0.53,0.53,0.49,0.84,0.9,0.9,0.89,0.89,0.9,0.89,0.89,0.82,0.9,0.9,0.9
